true,pred,count
read_file,list_directory,75
edit_file,apply_patch,40
grep_search,list_directory,33
read_file,grep_search,30
run_bash,lint_or_typecheck,27
run_bash,run_tests,20
apply_patch,edit_file,18
plan_task,web_search,10
read_file,glob_pattern,10
run_tests,run_bash,9
grep_search,read_file,9
run_tests,lint_or_typecheck,6
ask_user,plan_task,6
glob_pattern,list_directory,6
lint_or_typecheck,run_tests,5
lint_or_typecheck,run_bash,4
plan_task,ask_user,3
ask_user,web_search,3
list_directory,read_file,2
web_search,ask_user,2
lint_or_typecheck,read_file,2
grep_search,glob_pattern,2
edit_file,glob_pattern,1
glob_pattern,read_file,1
list_directory,grep_search,1
list_directory,glob_pattern,1
grep_search,plan_task,1
read_file,edit_file,1
read_file,lint_or_typecheck,1
run_tests,glob_pattern,1
run_tests,list_directory,1
web_search,plan_task,1
