component,bucket,action,support,precision,recall,f1
linear,all,apply_patch,666,0.796875,0.8423423423423423,0.8189781021897811
linear,all,ask_user,393,0.5805555555555556,0.5318066157760815,0.5551128818061088
linear,all,edit_file,1580,0.9111253196930946,0.9018987341772152,0.9064885496183206
linear,all,glob_pattern,783,0.6586538461538461,0.524904214559387,0.5842217484008528
linear,all,grep_search,1473,0.6285963382737576,0.4894772572980312,0.5503816793893129
linear,all,lint_or_typecheck,320,0.5401459854014599,0.4625,0.4983164983164983
linear,all,list_directory,651,0.35237068965517243,0.5023041474654378,0.4141861937935402
linear,all,plan_task,370,0.5726256983240223,0.5540540540540541,0.5631868131868132
linear,all,read_file,1284,0.45579567779960706,0.5420560747663551,0.4951974386339381
linear,all,respond_only,734,0.9972789115646259,0.9986376021798365,0.9979577944179714
linear,all,run_bash,689,0.7644444444444445,0.7489114658925979,0.7565982404692082
linear,all,run_tests,653,0.679136690647482,0.7228177641653905,0.7002967359050445
linear,all,web_search,174,0.5139664804469274,0.5287356321839081,0.5212464589235127
linear,all,write_file,199,0.9849246231155779,0.9849246231155779,0.9849246231155779
linear,sim,apply_patch,638,0.8263473053892215,0.8652037617554859,0.8453292496171516
linear,sim,ask_user,379,0.5878962536023055,0.5382585751978892,0.5619834710743802
linear,sim,edit_file,1454,0.9216366158113731,0.9140302613480055,0.9178176795580111
linear,sim,glob_pattern,775,0.6704918032786885,0.5277419354838709,0.5906137184115523
linear,sim,grep_search,1398,0.6347905282331512,0.49856938483547925,0.5584935897435898
linear,sim,lint_or_typecheck,284,0.5265306122448979,0.45422535211267606,0.4877126654064272
linear,sim,list_directory,640,0.37809187279151946,0.5015625,0.43116185359301545
linear,sim,plan_task,344,0.5705705705705706,0.5523255813953488,0.5612998522895125
linear,sim,read_file,1104,0.43001443001443,0.5398550724637681,0.478714859437751
linear,sim,respond_only,692,0.9971181556195965,1.0,0.9985569985569985
linear,sim,run_bash,617,0.7702265372168284,0.7714748784440842,0.7708502024291498
linear,sim,run_tests,608,0.6921875,0.7286184210526315,0.7099358974358975
linear,sim,web_search,161,0.5182926829268293,0.5279503105590062,0.5230769230769231
linear,sim,write_file,193,0.9844559585492227,0.9844559585492227,0.9844559585492227
linear,au,apply_patch,28,0.25,0.32142857142857145,0.28125
linear,au,ask_user,14,0.38461538461538464,0.35714285714285715,0.37037037037037035
linear,au,edit_file,126,0.7868852459016393,0.7619047619047619,0.7741935483870968
linear,au,glob_pattern,8,0.14285714285714285,0.25,0.18181818181818182
linear,au,grep_search,75,0.4897959183673469,0.32,0.3870967741935484
linear,au,lint_or_typecheck,36,0.6551724137931034,0.5277777777777778,0.5846153846153846
linear,au,list_directory,11,0.0759493670886076,0.5454545454545454,0.13333333333333333
linear,au,plan_task,26,0.6,0.5769230769230769,0.5882352941176471
linear,au,read_file,180,0.7092198581560284,0.5555555555555556,0.6230529595015576
linear,au,respond_only,42,1.0,0.9761904761904762,0.9879518072289156
