field,bucket,value,count,bucket_total,rate_in_bucket
git_dirty,au,False,2522,5025,0.5018905472636815
git_dirty,au,True,2503,5025,0.4981094527363184
git_dirty,sim,True,51198,64975,0.7879646017699115
git_dirty,sim,False,13777,64975,0.2120353982300885
language_pref,au,ko,3128,5025,0.6224875621890548
language_pref,au,en,1192,5025,0.23721393034825872
language_pref,au,mixed,705,5025,0.14029850746268657
language_pref,sim,ko,41900,64975,0.6448634090034628
language_pref,sim,en,16610,64975,0.2556367833782224
language_pref,sim,mixed,6465,64975,0.09949980761831474
last_action,au,read_file,1218,5025,0.24238805970149255
last_action,au,none,1034,5025,0.20577114427860696
last_action,au,edit_file,768,5025,0.1528358208955224
last_action,au,grep_search,512,5025,0.10189054726368159
last_action,au,run_bash,373,5025,0.07422885572139304
last_action,au,run_tests,231,5025,0.04597014925373134
last_action,au,lint_or_typecheck,190,5025,0.03781094527363184
last_action,au,apply_patch,167,5025,0.033233830845771146
last_action,au,plan_task,150,5025,0.029850746268656716
last_action,au,web_search,111,5025,0.02208955223880597
last_action,au,list_directory,98,5025,0.019502487562189055
last_action,au,glob_pattern,78,5025,0.015522388059701492
last_action,au,ask_user,49,5025,0.009751243781094527
last_action,au,write_file,46,5025,0.009154228855721393
last_action,sim,edit_file,9852,64975,0.15162754905732975
last_action,sim,grep_search,8900,64975,0.13697575990765679
last_action,sim,none,7966,64975,0.12260100038476338
last_action,sim,read_file,7669,64975,0.11803001154290112
last_action,sim,glob_pattern,4889,64975,0.07524432474028472
last_action,sim,run_bash,4424,64975,0.06808772604848018
last_action,sim,apply_patch,4250,64975,0.06540977298961138
last_action,sim,list_directory,4125,64975,0.06348595613697576
last_action,sim,run_tests,4020,64975,0.06186994998076183
last_action,sim,plan_task,2434,64975,0.03746056175452097
last_action,sim,ask_user,2143,64975,0.03298191612158523
last_action,sim,lint_or_typecheck,1826,64975,0.02810311658330127
last_action,sim,write_file,1400,64975,0.021546748749519045
last_action,sim,web_search,1077,64975,0.01657560600230858
last_ci_status,au,passed,2786,5025,0.5544278606965174
last_ci_status,au,failed,1186,5025,0.23601990049751242
last_ci_status,au,none,1053,5025,0.20955223880597015
last_ci_status,sim,passed,25249,64975,0.388595613697576
last_ci_status,sim,failed,21437,64975,0.32992689495959987
last_ci_status,sim,none,18289,64975,0.2814774913428242
prompt_lang_guess,au,ko,3833,5025,0.7627860696517413
prompt_lang_guess,au,ascii,1192,5025,0.23721393034825872
prompt_lang_guess,sim,ko,46214,64975,0.7112581762216237
prompt_lang_guess,sim,ascii,18750,64975,0.2885725278953444
prompt_lang_guess,sim,non_ascii,11,64975,0.00016929588303193536
top_lang,au,py,2326,5025,0.4628855721393035
top_lang,au,tsx,612,5025,0.1217910447761194
top_lang,au,ts,474,5025,0.09432835820895523
top_lang,au,go,459,5025,0.09134328358208955
top_lang,au,java,357,5025,0.07104477611940299
top_lang,au,yaml,335,5025,0.06666666666666667
top_lang,au,vue,257,5025,0.051144278606965174
top_lang,au,rs,205,5025,0.04079601990049751
top_lang,sim,py,25571,64975,0.39355136590996537
top_lang,sim,rs,7676,64975,0.11813774528664871
top_lang,sim,java,6839,64975,0.10525586764140053
top_lang,sim,vue,6200,64975,0.0954213158907272
top_lang,sim,ts,5278,64975,0.0812312427856868
top_lang,sim,tsx,5229,64975,0.08047710657945363
top_lang,sim,go,4189,64975,0.0644709503655252
top_lang,sim,yaml,3993,64975,0.06145440554059253
user_tier,au,pro,2106,5025,0.4191044776119403
user_tier,au,enterprise,1759,5025,0.35004975124378107
user_tier,au,free,1160,5025,0.2308457711442786
user_tier,sim,pro,35627,64975,0.5483185840707965
user_tier,sim,free,19788,64975,0.30454790303963064
user_tier,sim,enterprise,9560,64975,0.1471335128895729
