base,bias,macro_f1,delta_vs_unbiased,au_macro_f1,sim_macro_f1,changed_vs_unbiased,read_bias,grep_bias,list_bias
stacker_final,none,0.7056611366010784,0.0,0.49198778939962345,0.7169940179744462,0,0.0,0.0,0.0
stacker_final,mate_0.5x,0.7064725870855003,0.0008114504844218828,0.4905212794302753,0.7179498493313465,143,0.05,-0.05,-0.09
stacker_final,mate_1.0x,0.7059589338582442,0.0002977972571657217,0.49278042385022053,0.7171166429857336,276,0.1,-0.1,-0.18
stacker_final,mate_1.5x,0.7050268472049234,-0.0006342893961550633,0.4889318343507609,0.7162814772835115,413,0.15000000000000002,-0.15000000000000002,-0.27
stacker_final,read_only_0.5x,0.7060349077252148,0.0003737711241363906,0.49134437246361784,0.7174517473749764,56,0.05,0.0,0.0
stacker_final,read_only_1.5x,0.7063177699319556,0.0006566333308771766,0.4898954351283901,0.7178519640947038,204,0.15000000000000002,0.0,0.0
stacker_final,grep_only_0.5x,0.7053953073329093,-0.00026582926816909325,0.4909197938709327,0.7168134063884917,38,0.0,-0.05,0.0
stacker_final,grep_only_1.5x,0.7045766605910033,-0.0010844760100751083,0.48482183451887034,0.7164123600274491,150,0.0,-0.15000000000000002,0.0
stacker_final,list_only_0.5x,0.7060744887623853,0.00041335216130689023,0.4928593259353068,0.7173310983716704,43,0.0,0.0,-0.09
stacker_final,list_only_1.5x,0.7056126384901009,-4.849811097751289e-05,0.4966652560927334,0.7163177305050306,94,0.0,0.0,-0.27
blend4,none,0.7225458252208838,0.0,0.511765002680003,0.7356758606640229,0,0.0,0.0,0.0
blend4,mate_0.5x,0.7222645912439537,-0.00028123397693013974,0.5137581898650888,0.7347877918519566,137,0.05,-0.05,-0.09
blend4,mate_1.0x,0.7227819114910065,0.00023608627012261518,0.5154316844945167,0.7349298382847032,228,0.1,-0.1,-0.18
blend4,mate_1.5x,0.721509383746369,-0.001036441474514871,0.5182809784757625,0.733035447922129,354,0.15000000000000002,-0.15000000000000002,-0.27
blend4,read_only_0.5x,0.7223585051259743,-0.0001873200949095155,0.5126174197985891,0.7352828600061413,51,0.05,0.0,0.0
blend4,read_only_1.5x,0.72212376644954,-0.0004220587713438251,0.5129664400450274,0.7347028603672398,176,0.15000000000000002,0.0,0.0
blend4,grep_only_0.5x,0.7219767854452649,-0.0005690397756189514,0.5114771875807269,0.7350837144605588,37,0.0,-0.05,0.0
blend4,grep_only_1.5x,0.7214304855788655,-0.0011153396420183759,0.5076098582139738,0.7347613880037017,112,0.0,-0.15000000000000002,0.0
blend4,list_only_0.5x,0.7228660343882254,0.00032020916734154525,0.5144687880191577,0.7355894129542302,32,0.0,0.0,-0.09
blend4,list_only_1.5x,0.7232342909224236,0.0006884657015397977,0.5190556472631372,0.7352134095108729,86,0.0,0.0,-0.27
blend4_soft_au_a0.9,none,0.7387722812652203,0.0,0.7701676075636106,0.7356758606640229,0,0.0,0.0,0.0
blend4_soft_au_a0.9,mate_0.5x,0.7382874858405276,-0.00048479542469270775,0.7793127204625864,0.7347877918519566,128,0.05,-0.05,-0.09
blend4_soft_au_a0.9,mate_1.0x,0.7380373174481009,-0.0007349638171194606,0.7759692924042456,0.7349298382847032,218,0.1,-0.1,-0.18
blend4_soft_au_a0.9,mate_1.5x,0.7363938168967985,-0.0023784643684218176,0.7831927756268856,0.733035447922129,334,0.15000000000000002,-0.15000000000000002,-0.27
blend4_soft_au_a0.9,read_only_0.5x,0.7388629213200101,9.0640054789759e-05,0.7797454968565619,0.7352828600061413,53,0.05,0.0,0.0
blend4_soft_au_a0.9,read_only_1.5x,0.7382330678756296,-0.0005392133895907314,0.7797957751209542,0.7347028603672398,176,0.15000000000000002,0.0,0.0
blend4_soft_au_a0.9,grep_only_0.5x,0.7381951836531363,-0.000577097612084021,0.7686955192141507,0.7350837144605588,42,0.0,-0.05,0.0
blend4_soft_au_a0.9,grep_only_1.5x,0.7376407349681299,-0.0011315462970904466,0.7654787302240859,0.7347613880037017,124,0.0,-0.15000000000000002,0.0
blend4_soft_au_a0.9,list_only_0.5x,0.7387501687979456,-2.211246727468197e-05,0.7727484051769998,0.7355894129542302,21,0.0,0.0,-0.09
blend4_soft_au_a0.9,list_only_1.5x,0.7382532232130427,-0.0005190580521776678,0.7723223898265231,0.7352134095108729,57,0.0,0.0,-0.27
