variant,class,support,pred_count,tp,fp,fn,f1,baseline_f1,delta_vs_baseline_f1
linear,apply_patch,666,704,561,143,105,0.8189781021897811,0.8703047484053863,-0.05132664621560523
linear,ask_user,393,360,209,151,184,0.5551128818061088,0.6135135135135135,-0.058400631707404616
linear,edit_file,1580,1564,1425,139,155,0.9064885496183206,0.9371761658031088,-0.030687616184788213
linear,glob_pattern,783,624,411,213,372,0.5842217484008528,0.6502808988764045,-0.06605915047555166
linear,grep_search,1473,1147,721,426,752,0.5503816793893129,0.6018590240123934,-0.05147734462308051
linear,lint_or_typecheck,320,274,148,126,172,0.4983164983164983,0.5806451612903226,-0.0823286629738243
linear,list_directory,651,928,327,601,324,0.4141861937935402,0.4827586206896552,-0.06857242689611498
linear,plan_task,370,358,205,153,165,0.5631868131868132,0.6702557200538358,-0.10706890686702264
linear,read_file,1284,1527,696,831,588,0.4951974386339381,0.5386078356789654,-0.043410397045027305
linear,respond_only,734,735,733,2,1,0.9979577944179714,0.9993192648059904,-0.001361470388019037
linear,run_bash,689,675,516,159,173,0.7565982404692082,0.7973074046372476,-0.04070916416803938
linear,run_tests,653,695,472,223,181,0.7002967359050445,0.7691154422788605,-0.06881870637381604
linear,web_search,174,179,92,87,82,0.5212464589235127,0.6169665809768637,-0.09572012205335101
linear,write_file,199,199,196,3,3,0.9849246231155779,0.9875311720698254,-0.0026065489542475007
stacker_final,apply_patch,666,736,605,131,61,0.8630527817403709,0.8703047484053863,-0.007251966665015375
stacker_final,ask_user,393,327,209,118,184,0.5805555555555556,0.6135135135135135,-0.03295795795795786
stacker_final,edit_file,1580,1508,1425,83,155,0.9229274611398963,0.9371761658031088,-0.014248704663212486
stacker_final,glob_pattern,783,704,460,244,323,0.6186953597848016,0.6502808988764045,-0.03158553909160289
stacker_final,grep_search,1473,1164,761,403,712,0.5771710276829731,0.6018590240123934,-0.024687996329420314
stacker_final,lint_or_typecheck,320,384,204,180,116,0.5795454545454546,0.5806451612903226,-0.0010997067448680342
stacker_final,list_directory,651,1092,426,666,225,0.48881239242685026,0.4827586206896552,0.006053771737195068
stacker_final,plan_task,370,370,230,140,140,0.6216216216216216,0.6702557200538358,-0.04863409843221422
stacker_final,read_file,1284,1187,627,560,657,0.5074868474301902,0.5386078356789654,-0.031120988248775183
stacker_final,respond_only,734,732,732,0,2,0.9986357435197817,0.9993192648059904,-0.0006835212862087436
stacker_final,run_bash,689,677,530,147,159,0.7759882869692533,0.7973074046372476,-0.021319117667994325
stacker_final,run_tests,653,633,479,154,174,0.744945567651633,0.7691154422788605,-0.024169874627227528
stacker_final,web_search,174,252,132,120,42,0.6197183098591549,0.6169665809768637,0.002751728882291138
stacker_final,write_file,199,203,197,6,2,0.9800995024875622,0.9875311720698254,-0.007431669582263267
e5,apply_patch,666,804,608,196,58,0.8272108843537415,0.8703047484053863,-0.04309386405164484
e5,ask_user,393,331,218,113,175,0.6022099447513812,0.6135135135135135,-0.011303568762132232
e5,edit_file,1580,1445,1380,65,200,0.912396694214876,0.9371761658031088,-0.024779471588232793
e5,glob_pattern,783,637,447,190,336,0.6295774647887324,0.6502808988764045,-0.020703434087672057
e5,grep_search,1473,1107,763,344,710,0.5914728682170542,0.6018590240123934,-0.010386155795339191
e5,lint_or_typecheck,320,364,190,174,130,0.5555555555555556,0.5806451612903226,-0.02508960573476704
e5,list_directory,651,1157,432,725,219,0.4778761061946903,0.4827586206896552,-0.004882514494964907
