name,family,spec,holdout_rows,holdout_share,holdout_turn0_rows,holdout_turn0_share,train_rows_all,train_nonholdout_rows,train_nonholdout_turn0_rows,blend4_group_macro_f1,delta_vs_overall_4way,screen_pass
budget_bucket=0000_1000,budget_bucket,"{""field"": ""budget_bucket"", ""kind"": ""field_equals"", ""value"": ""0000_1000""}",10,0.001076773985140519,0,0.0,69,59,0,0.09090909090909091,-0.6316367343117929,False
budget_bucket=1000_10000,budget_bucket,"{""field"": ""budget_bucket"", ""kind"": ""field_equals"", ""value"": ""1000_10000""}",188,0.020243350920641758,0,0.0,1371,1183,0,0.5692897995612883,-0.1532560256595955,False
cross:open_files_empty&git_dirty=false,cross,"{""kind"": ""and"", ""parts"": [{""field"": ""open_files_empty"", ""kind"": ""flag_true""}, {""field"": ""git_dirty"", ""kind"": ""field_equals"", ""value"": false}]}",1324,0.14256487563260473,0,0.0,9464,8140,0,0.5833984858302942,-0.13914733939058965,True
open_files_empty,open_files_empty,"{""field"": ""open_files_empty"", ""kind"": ""flag_true""}",3243,0.3491978033810703,0,0.0,21847,18604,0,0.633040439412352,-0.08950538580853185,True
turn_index>=12,turn_index,"{""field"": ""turn_index"", ""kind"": ""numeric_ge"", ""threshold"": 12.0, ""threshold_label"": ""12""}",608,0.06546785829654356,0,0.0,4265,3657,0,0.6331060314673042,-0.08943979375357969,True
git_dirty=false,git_dirty,"{""field"": ""git_dirty"", ""kind"": ""field_equals"", ""value"": false}",1891,0.20361796059007214,0,0.0,13777,11886,0,0.6353974780153343,-0.08714834720554954,True
turn_index>=8,turn_index,"{""field"": ""turn_index"", ""kind"": ""numeric_ge"", ""threshold"": 8.0, ""threshold_label"": ""8""}",2158,0.232367825993324,0,0.0,15706,13548,0,0.6606742888601022,-0.06187153636078169,True
turn_index>=10,turn_index,"{""field"": ""turn_index"", ""kind"": ""numeric_ge"", ""threshold"": 10.0, ""threshold_label"": ""10""}",1174,0.12641326585549692,0,0.0,8543,7369,0,0.6702179689112231,-0.05232785630966075,True
history_len>=10,history_len,"{""field"": ""history_len"", ""kind"": ""numeric_ge"", ""threshold"": 10.0, ""threshold_label"": ""10""}",3822,0.41154301712070634,0,0.0,27133,23311,0,0.6871296093879129,-0.03541621583297094,True
workspace_loc>=p90_49691,workspace_loc,"{""field"": ""workspace_loc"", ""kind"": ""numeric_ge"", ""threshold"": 49691.0, ""threshold_label"": ""p90_49691""}",898,0.0966943038656186,0,0.0,6499,5601,0,0.7221552340047835,-0.0003905912161003,False
user_tier=free,user_tier,"{""field"": ""user_tier"", ""kind"": ""field_equals"", ""value"": ""free""}",2849,0.30677290836653387,0,0.0,19788,16939,0,0.7234787925859794,0.0009329673650955161,False
language_pref=en,language_pref,"{""field"": ""language_pref"", ""kind"": ""field_equals"", ""value"": ""en""}",2376,0.25584149886938734,0,0.0,16610,14234,0,0.7269921253719609,0.004446300151077054,False
last_ci_status=passed,last_ci_status,"{""field"": ""last_ci_status"", ""kind"": ""field_equals"", ""value"": ""passed""}",3586,0.3861311510713901,0,0.0,25249,21663,0,0.7317775708078048,0.00923174558692097,False
git_dirty=true,git_dirty,"{""field"": ""git_dirty"", ""kind"": ""field_equals"", ""value"": true}",7396,0.7963820394099279,0,0.0,51198,43802,0,0.7338804627882742,0.011334637567390393,False
budget_bucket=50000_plus,budget_bucket,"{""field"": ""budget_bucket"", ""kind"": ""field_equals"", ""value"": ""50000_plus""}",6562,0.7065790890492085,0,0.0,45752,39190,0,0.735818435102522,0.013272609881638142,False
language_pref=ko,language_pref,"{""field"": ""language_pref"", ""kind"": ""field_equals"", ""value"": ""ko""}",6005,0.6466027780768817,0,0.0,41900,35895,0,0.736026505690769,0.013480680469885153,False
last_ci_status=none,last_ci_status,"{""field"": ""last_ci_status"", ""kind"": ""field_equals"", ""value"": ""none""}",2752,0.29632820071067084,0,0.0,18289,15537,0,0.7360732931811725,0.013527467960288697,False
last_ci_status=failed,last_ci_status,"{""field"": ""last_ci_status"", ""kind"": ""field_equals"", ""value"": ""failed""}",2949,0.31754064821793904,0,0.0,21437,18488,0,0.7373188663771736,0.014773041156289746,False
user_tier=pro,user_tier,"{""field"": ""user_tier"", ""kind"": ""field_equals"", ""value"": ""pro""}",5119,0.5512006029934317,0,0.0,35627,30508,0,0.7396135823018258,0.017067757080941992,False
workspace_loc<=p10_3200,workspace_loc,"{""field"": ""workspace_loc"", ""kind"": ""numeric_le"", ""threshold"": 3200.0, ""threshold_label"": ""p10_3200""}",986,0.10616991493485517,0,0.0,6503,5517,0,0.7396320610930138,0.017086235872129985,False
budget_bucket=10000_50000,budget_bucket,"{""field"": ""budget_bucket"", ""kind"": ""field_equals"", ""value"": ""10000_50000""}",2527,0.27210078604500915,0,0.0,17783,15256,0,0.7438247751206191,0.021278949899735222,False
user_tier=enterprise,user_tier,"{""field"": ""user_tier"", ""kind"": ""field_equals"", ""value"": ""enterprise""}",1319,0.14202648864003445,0,0.0,9560,8241,0,0.7460555518987979,0.023509726677914067,False
language_pref=mixed,language_pref,"{""field"": ""language_pref"", ""kind"": ""field_equals"", ""value"": ""mixed""}",906,0.09755572305373102,0,0.0,6465,5559,0,0.7510049756697871,0.028459150448903237,False
