variant,class,support,sparse_n_le_14,blend_f1,variant_f1,delta_f1,blend_pred_count,variant_pred_count
au_only_char_C1|alpha=0.9,glob_pattern,8,True,0.08333333333333333,0.75,0.6666666666666666,16,8
au_only_char_C1|alpha=0.9,list_directory,11,True,0.10526315789473684,0.72,0.6147368421052631,122,14
au_only_char_C1|alpha=0.9,read_file,180,False,0.490272373540856,0.8117647058823529,0.32149233234149693,77,160
au_only_char_C1|alpha=0.9,grep_search,75,False,0.4411764705882353,0.7532467532467533,0.312070282658518,61,79
au_only_char_C1|alpha=0.9,plan_task,26,False,0.5531914893617021,0.8461538461538461,0.292962356792144,21,26
au_only_char_C1|alpha=0.9,run_bash,72,False,0.45454545454545453,0.7101449275362319,0.2555994729907774,38,66
au_only_char_C1|alpha=0.9,apply_patch,28,False,0.2564102564102564,0.5084745762711864,0.25206431986093003,50,31
au_only_char_C1|alpha=0.9,ask_user,14,True,0.4166666666666667,0.6666666666666666,0.24999999999999994,10,10
au_only_char_C1|alpha=0.9,web_search,13,True,0.5555555555555556,0.7857142857142857,0.23015873015873012,23,15
au_only_char_C1|alpha=0.9,lint_or_typecheck,36,False,0.5263157894736842,0.7191011235955056,0.19278533412182142,59,53
au_only_char_C1|alpha=0.9,run_tests,45,False,0.5714285714285714,0.7586206896551724,0.18719211822660098,53,42
au_only_char_C1|alpha=0.9,edit_file,126,False,0.7391304347826086,0.8259109311740891,0.08678049639148044,104,121
au_only_char_C1|alpha=0.9,write_file,6,True,1.0,0.9230769230769231,-0.07692307692307687,6,7
au_only_char_C1|alpha=0.9,respond_only,42,False,1.0,0.9130434782608695,-0.08695652173913049,42,50
