component,segment,rows,action,support,pred_count,precision,recall,f1,scarce_support_le_14
linear,all,9969,apply_patch,666,704,0.796875,0.8423423423423423,0.8189781021897811,False
linear,all,9969,ask_user,393,360,0.5805555555555556,0.5318066157760815,0.5551128818061088,False
linear,all,9969,edit_file,1580,1564,0.9111253196930946,0.9018987341772152,0.9064885496183206,False
linear,all,9969,glob_pattern,783,624,0.6586538461538461,0.524904214559387,0.5842217484008528,False
linear,all,9969,grep_search,1473,1147,0.6285963382737576,0.4894772572980312,0.5503816793893129,False
linear,all,9969,lint_or_typecheck,320,274,0.5401459854014599,0.4625,0.4983164983164983,False
linear,all,9969,list_directory,651,928,0.35237068965517243,0.5023041474654378,0.4141861937935402,False
linear,all,9969,plan_task,370,358,0.5726256983240223,0.5540540540540541,0.5631868131868132,False
linear,all,9969,read_file,1284,1527,0.45579567779960706,0.5420560747663551,0.4951974386339381,False
linear,all,9969,respond_only,734,735,0.9972789115646259,0.9986376021798365,0.9979577944179714,False
linear,all,9969,run_bash,689,675,0.7644444444444445,0.7489114658925979,0.7565982404692082,False
linear,all,9969,run_tests,653,695,0.679136690647482,0.7228177641653905,0.7002967359050445,False
linear,all,9969,web_search,174,179,0.5139664804469274,0.5287356321839081,0.5212464589235127,False
linear,all,9969,write_file,199,199,0.9849246231155779,0.9849246231155779,0.9849246231155779,False
linear,hist0,1293,apply_patch,0,0,0.0,0.0,0.0,True
linear,hist0,1293,ask_user,100,80,0.4,0.32,0.35555555555555557,False
linear,hist0,1293,edit_file,34,32,0.90625,0.8529411764705882,0.8787878787878788,False
linear,hist0,1293,glob_pattern,92,6,0.16666666666666666,0.010869565217391304,0.02040816326530612,False
linear,hist0,1293,grep_search,148,33,0.12121212121212122,0.02702702702702703,0.04419889502762431,False
linear,hist0,1293,lint_or_typecheck,14,4,0.5,0.14285714285714285,0.2222222222222222,True
linear,hist0,1293,list_directory,266,533,0.37523452157598497,0.7518796992481203,0.5006257822277848,False
linear,hist0,1293,plan_task,157,172,0.5813953488372093,0.6369426751592356,0.60790273556231,False
linear,hist0,1293,read_file,209,153,0.35947712418300654,0.2631578947368421,0.30386740331491713,False
linear,hist0,1293,respond_only,12,12,1.0,1.0,1.0,True
linear,hist0,1293,run_bash,142,165,0.8121212121212121,0.9436619718309859,0.8729641693811075,False
linear,hist0,1293,run_tests,15,0,0.0,0.0,0.0,False
linear,hist0,1293,web_search,7,7,0.0,0.0,0.0,True
linear,hist0,1293,write_file,97,96,0.9895833333333334,0.979381443298969,0.9844559585492227,False
linear,non_hist0,8676,apply_patch,666,704,0.796875,0.8423423423423423,0.8189781021897811,False
linear,non_hist0,8676,ask_user,293,280,0.6321428571428571,0.6040955631399317,0.6178010471204188,False
linear,non_hist0,8676,edit_file,1546,1532,0.9112271540469974,0.9029754204398448,0.9070825211176088,False
linear,non_hist0,8676,glob_pattern,691,618,0.6634304207119741,0.5933429811866859,0.6264323911382735,False
linear,non_hist0,8676,grep_search,1325,1114,0.6436265709156194,0.5411320754716981,0.5879458794587946,False
linear,non_hist0,8676,lint_or_typecheck,306,270,0.5407407407407407,0.477124183006536,0.5069444444444444,False
linear,non_hist0,8676,list_directory,385,395,0.32151898734177214,0.32987012987012987,0.32564102564102565,False
linear,non_hist0,8676,plan_task,213,186,0.5645161290322581,0.49295774647887325,0.5263157894736842,False
linear,non_hist0,8676,read_file,1075,1374,0.46652110625909754,0.5962790697674418,0.5234789710085749,False
linear,non_hist0,8676,respond_only,722,723,0.9972337482710927,0.9986149584487535,0.9979238754325259,False
linear,non_hist0,8676,run_bash,547,510,0.7490196078431373,0.6983546617915904,0.7228003784295175,False
linear,non_hist0,8676,run_tests,638,695,0.679136690647482,0.7398119122257053,0.7081770442610653,False
