scope,action,count,scope_total,rate
train_all,apply_patch,4823,70000,0.0689
train_all,ask_user,2701,70000,0.038585714285714286
train_all,edit_file,11171,70000,0.15958571428571428
train_all,glob_pattern,5284,70000,0.07548571428571428
train_all,grep_search,9912,70000,0.1416
train_all,lint_or_typecheck,2283,70000,0.032614285714285714
train_all,list_directory,4329,70000,0.061842857142857144
train_all,plan_task,2679,70000,0.038271428571428574
train_all,read_file,9257,70000,0.13224285714285713
train_all,respond_only,5178,70000,0.07397142857142858
train_all,run_bash,5068,70000,0.0724
train_all,run_tests,4561,70000,0.06515714285714286
train_all,web_search,1273,70000,0.018185714285714284
train_all,write_file,1481,70000,0.021157142857142857
train_hist0,apply_patch,6,9000,0.0006666666666666666
train_hist0,ask_user,629,9000,0.06988888888888889
train_hist0,edit_file,228,9000,0.025333333333333333
train_hist0,glob_pattern,567,9000,0.063
train_hist0,grep_search,1046,9000,0.11622222222222223
train_hist0,lint_or_typecheck,72,9000,0.008
train_hist0,list_directory,1818,9000,0.202
train_hist0,plan_task,1121,9000,0.12455555555555556
train_hist0,read_file,1488,9000,0.16533333333333333
train_hist0,respond_only,77,9000,0.008555555555555556
train_hist0,run_bash,1011,9000,0.11233333333333333
train_hist0,run_tests,120,9000,0.013333333333333334
train_hist0,web_search,109,9000,0.01211111111111111
train_hist0,write_file,708,9000,0.07866666666666666
train_non_hist0,apply_patch,4817,61000,0.0789672131147541
train_non_hist0,ask_user,2072,61000,0.0339672131147541
train_non_hist0,edit_file,10943,61000,0.17939344262295082
train_non_hist0,glob_pattern,4717,61000,0.07732786885245901
train_non_hist0,grep_search,8866,61000,0.14534426229508196
train_non_hist0,lint_or_typecheck,2211,61000,0.03624590163934426
train_non_hist0,list_directory,2511,61000,0.04116393442622951
train_non_hist0,plan_task,1558,61000,0.025540983606557377
train_non_hist0,read_file,7769,61000,0.12736065573770491
train_non_hist0,respond_only,5101,61000,0.08362295081967214
train_non_hist0,run_bash,4057,61000,0.06650819672131147
train_non_hist0,run_tests,4441,61000,0.07280327868852458
train_non_hist0,web_search,1164,61000,0.019081967213114753
train_non_hist0,write_file,773,61000,0.012672131147540984
nonholdout_hist0,apply_patch,6,7707,0.0007785130400934215
nonholdout_hist0,ask_user,529,7707,0.06863889970157
nonholdout_hist0,edit_file,194,7707,0.0251719216296873
nonholdout_hist0,glob_pattern,475,7707,0.061632282340729205
nonholdout_hist0,grep_search,898,7707,0.11651745166731543
nonholdout_hist0,lint_or_typecheck,58,7707,0.0075256260542364084
nonholdout_hist0,list_directory,1552,7707,0.2013753730374984
nonholdout_hist0,plan_task,964,7707,0.12508109510834306
nonholdout_hist0,read_file,1279,7707,0.16595302971324769
nonholdout_hist0,respond_only,65,7707,0.008433891267678734
nonholdout_hist0,run_bash,869,7707,0.11275463864019722
nonholdout_hist0,run_tests,105,7707,0.013623978201634877
nonholdout_hist0,web_search,102,7707,0.013234721681588166
nonholdout_hist0,write_file,611,7707,0.07927857791618009
holdout_hist0,ask_user,100,1293,0.07733952049497293
holdout_hist0,edit_file,34,1293,0.026295436968290797
holdout_hist0,glob_pattern,92,1293,0.0711523588553751
holdout_hist0,grep_search,148,1293,0.11446249033255994
holdout_hist0,lint_or_typecheck,14,1293,0.01082753286929621
holdout_hist0,list_directory,266,1293,0.205723124516628
holdout_hist0,plan_task,157,1293,0.1214230471771075
holdout_hist0,read_file,209,1293,0.16163959783449341
holdout_hist0,respond_only,12,1293,0.009280742459396751
holdout_hist0,run_bash,142,1293,0.10982211910286156
holdout_hist0,run_tests,15,1293,0.01160092807424594
holdout_hist0,web_search,7,1293,0.005413766434648105
holdout_hist0,write_file,97,1293,0.07501933488012374
