group_value,n_rows,n_sessions,top_label,top_purity,n_ask_or_plan_rows,ask_plan_top,ask_plan_purity,n_other_14class_rows
none>none,1750,1750,plan_task,0.6405714285714286,1750,plan_task,0.6405714285714286,0
none>list_directory,140,140,plan_task,0.5214285714285715,140,plan_task,0.5214285714285715,0
none>plan_task,138,138,plan_task,0.927536231884058,138,plan_task,0.927536231884058,0
list_directory>read_file,101,101,ask_user,0.7920792079207921,101,ask_user,0.7920792079207921,0
read_file>edit_file,101,100,ask_user,0.7821782178217822,101,ask_user,0.7821782178217822,0
none>read_file,101,101,ask_user,0.594059405940594,101,ask_user,0.594059405940594,0
edit_file>run_tests,98,96,ask_user,0.6938775510204082,98,ask_user,0.6938775510204082,0
grep_search>edit_file,90,86,ask_user,0.6333333333333333,90,ask_user,0.6333333333333333,0
none>ask_user,85,85,plan_task,0.8941176470588236,85,plan_task,0.8941176470588236,0
read_file>read_file,80,80,plan_task,0.575,80,plan_task,0.575,0
grep_search>read_file,77,77,ask_user,0.5064935064935064,77,ask_user,0.5064935064935064,0
grep_search>grep_search,74,74,ask_user,0.527027027027027,74,ask_user,0.527027027027027,0
none>run_bash,74,74,ask_user,0.7702702702702703,74,ask_user,0.7702702702702703,0
edit_file>edit_file,69,68,ask_user,0.782608695652174,69,ask_user,0.782608695652174,0
none>grep_search,68,68,ask_user,0.5441176470588235,68,ask_user,0.5441176470588235,0
list_directory>grep_search,62,62,ask_user,0.7903225806451613,62,ask_user,0.7903225806451613,0
read_file>grep_search,58,58,plan_task,0.5344827586206896,58,plan_task,0.5344827586206896,0
read_file>ask_user,52,52,plan_task,0.8076923076923077,52,plan_task,0.8076923076923077,0
run_bash>run_bash,50,50,ask_user,0.84,50,ask_user,0.84,0
glob_pattern>read_file,49,49,ask_user,0.6938775510204082,49,ask_user,0.6938775510204082,0
glob_pattern>grep_search,46,46,ask_user,0.5869565217391305,46,ask_user,0.5869565217391305,0
none>write_file,45,45,plan_task,0.8,45,plan_task,0.8,0
plan_task>read_file,43,43,ask_user,0.6511627906976745,43,ask_user,0.6511627906976745,0
edit_file>grep_search,43,43,ask_user,0.6511627906976745,43,ask_user,0.6511627906976745,0
plan_task>apply_patch,43,43,ask_user,0.5813953488372093,43,ask_user,0.5813953488372093,0
edit_file>read_file,42,42,ask_user,0.7380952380952381,42,ask_user,0.7380952380952381,0
edit_file>ask_user,42,42,plan_task,0.8333333333333334,42,plan_task,0.8333333333333334,0
glob_pattern>glob_pattern,42,42,ask_user,0.7142857142857143,42,ask_user,0.7142857142857143,0
run_tests>edit_file,41,41,ask_user,0.8292682926829268,41,ask_user,0.8292682926829268,0
plan_task>list_directory,37,37,ask_user,0.7297297297297297,37,ask_user,0.7297297297297297,0
none>glob_pattern,36,36,ask_user,0.5277777777777778,36,ask_user,0.5277777777777778,0
list_directory>glob_pattern,34,34,ask_user,0.7941176470588235,34,ask_user,0.7941176470588235,0
grep_search>glob_pattern,32,32,ask_user,0.65625,32,ask_user,0.65625,0
ask_user>read_file,32,32,plan_task,0.75,32,plan_task,0.75,0
glob_pattern>edit_file,32,32,ask_user,0.71875,32,ask_user,0.71875,0
run_bash>read_file,31,31,ask_user,0.8709677419354839,31,ask_user,0.8709677419354839,0
edit_file>apply_patch,31,30,ask_user,0.6774193548387096,31,ask_user,0.6774193548387096,0
ask_user>grep_search,31,31,plan_task,0.7419354838709677,31,plan_task,0.7419354838709677,0
read_file>apply_patch,31,31,ask_user,0.6774193548387096,31,ask_user,0.6774193548387096,0
list_directory>list_directory,29,29,ask_user,0.7931034482758621,29,ask_user,0.7931034482758621,0
list_directory>ask_user,29,29,plan_task,0.9310344827586207,29,plan_task,0.9310344827586207,0
ask_user>list_directory,28,28,plan_task,0.8928571428571429,28,plan_task,0.8928571428571429,0
apply_patch>lint_or_typecheck,27,27,ask_user,0.7777777777777778,27,ask_user,0.7777777777777778,0
edit_file>run_bash,27,27,ask_user,0.5185185185185185,27,ask_user,0.5185185185185185,0
run_bash>edit_file,27,27,ask_user,0.7407407407407407,27,ask_user,0.7407407407407407,0
apply_patch>apply_patch,26,26,ask_user,0.6923076923076923,26,ask_user,0.6923076923076923,0
ask_user>edit_file,26,26,plan_task,0.8846153846153846,26,plan_task,0.8846153846153846,0
plan_task>grep_search,26,26,ask_user,0.5769230769230769,26,ask_user,0.5769230769230769,0
write_file>run_bash,25,25,ask_user,0.92,25,ask_user,0.92,0
run_bash>list_directory,25,25,ask_user,0.84,25,ask_user,0.84,0
apply_patch>grep_search,25,25,ask_user,0.52,25,ask_user,0.52,0
edit_file>lint_or_typecheck,25,25,ask_user,0.64,25,ask_user,0.64,0
plan_task>web_search,25,25,ask_user,0.6,25,ask_user,0.6,0
run_bash>ask_user,24,24,plan_task,0.875,24,plan_task,0.875,0
lint_or_typecheck>apply_patch,24,24,ask_user,0.75,24,ask_user,0.75,0
glob_pattern>list_directory,24,24,ask_user,0.8333333333333334,24,ask_user,0.8333333333333334,0
grep_search>ask_user,24,24,plan_task,0.6666666666666666,24,plan_task,0.6666666666666666,0
apply_patch>run_tests,24,24,ask_user,0.6666666666666666,24,ask_user,0.6666666666666666,0
ask_user>glob_pattern,23,23,plan_task,0.8695652173913043,23,plan_task,0.8695652173913043,0
ask_user>plan_task,22,22,ask_user,0.7272727272727273,22,ask_user,0.7272727272727273,0
write_file>edit_file,22,22,ask_user,0.8636363636363636,22,ask_user,0.8636363636363636,0
read_file>run_bash,22,22,ask_user,0.5909090909090909,22,ask_user,0.5909090909090909,0
run_bash>grep_search,21,21,ask_user,0.7142857142857143,21,ask_user,0.7142857142857143,0
read_file>web_search,21,21,ask_user,0.6190476190476191,21,ask_user,0.6190476190476191,0
run_tests>apply_patch,20,20,ask_user,0.85,20,ask_user,0.85,0
read_file>plan_task,20,20,ask_user,0.6,20,ask_user,0.6,0
list_directory>write_file,19,19,ask_user,0.8421052631578947,19,ask_user,0.8421052631578947,0
read_file>glob_pattern,19,19,ask_user,0.5263157894736842,19,ask_user,0.5263157894736842,0
plan_task>plan_task,19,19,plan_task,0.5263157894736842,19,plan_task,0.5263157894736842,0
grep_search>web_search,18,18,ask_user,0.7222222222222222,18,ask_user,0.7222222222222222,0
list_directory>edit_file,18,18,ask_user,1.0,18,ask_user,1.0,0
plan_task>glob_pattern,16,16,ask_user,0.5625,16,ask_user,0.5625,0
lint_or_typecheck>edit_file,16,16,ask_user,0.6875,16,ask_user,0.6875,0
glob_pattern>ask_user,15,15,plan_task,0.8,15,plan_task,0.8,0
grep_search>plan_task,15,15,ask_user,0.6,15,ask_user,0.6,0
web_search>edit_file,15,15,ask_user,0.8,15,ask_user,0.8,0
run_tests>read_file,14,14,ask_user,0.9285714285714286,14,ask_user,0.9285714285714286,0
grep_search>apply_patch,14,14,ask_user,0.6428571428571429,14,ask_user,0.6428571428571429,0
run_tests>grep_search,14,14,ask_user,0.6428571428571429,14,ask_user,0.6428571428571429,0
run_bash>glob_pattern,13,13,ask_user,0.6923076923076923,13,ask_user,0.6923076923076923,0
plan_task>ask_user,13,13,plan_task,1.0,13,plan_task,1.0,0
apply_patch>run_bash,13,13,ask_user,0.7692307692307693,13,ask_user,0.7692307692307693,0
run_tests>run_tests,13,13,ask_user,0.6923076923076923,13,ask_user,0.6923076923076923,0
edit_file>glob_pattern,12,12,ask_user,0.75,12,ask_user,0.75,0
apply_patch>edit_file,12,12,ask_user,0.75,12,ask_user,0.75,0
ask_user>ask_user,12,12,plan_task,1.0,12,plan_task,1.0,0
read_file>list_directory,12,12,plan_task,0.5833333333333334,12,plan_task,0.5833333333333334,0
none>web_search,12,12,plan_task,0.5,12,plan_task,0.5,0
grep_search>run_bash,11,11,ask_user,0.7272727272727273,11,ask_user,0.7272727272727273,0
edit_file>web_search,11,11,plan_task,0.5454545454545454,11,plan_task,0.5454545454545454,0
run_tests>ask_user,11,11,plan_task,0.7272727272727273,11,plan_task,0.7272727272727273,0
web_search>web_search,10,10,ask_user,0.9,10,ask_user,0.9,0
list_directory>plan_task,9,9,ask_user,0.6666666666666666,9,ask_user,0.6666666666666666,0
web_search>read_file,9,9,plan_task,0.5555555555555556,9,plan_task,0.5555555555555556,0
apply_patch>ask_user,9,9,plan_task,0.8888888888888888,9,plan_task,0.8888888888888888,0
web_search>glob_pattern,8,8,ask_user,0.625,8,ask_user,0.625,0
list_directory>run_bash,8,8,ask_user,1.0,8,ask_user,1.0,0
grep_search>list_directory,8,8,ask_user,0.75,8,ask_user,0.75,0
apply_patch>list_directory,8,8,ask_user,0.875,8,ask_user,0.875,0
edit_file>plan_task,8,8,plan_task,0.625,8,plan_task,0.625,0
ask_user>run_bash,7,7,plan_task,0.8571428571428571,7,plan_task,0.8571428571428571,0
apply_patch>web_search,7,7,ask_user,0.8571428571428571,7,ask_user,0.8571428571428571,0
write_file>ask_user,7,7,plan_task,1.0,7,plan_task,1.0,0
apply_patch>read_file,7,7,ask_user,0.7142857142857143,7,ask_user,0.7142857142857143,0
write_file>read_file,7,7,ask_user,0.7142857142857143,7,ask_user,0.7142857142857143,0
glob_pattern>plan_task,7,7,plan_task,0.5714285714285714,7,plan_task,0.5714285714285714,0
lint_or_typecheck>lint_or_typecheck,6,6,ask_user,0.6666666666666666,6,ask_user,0.6666666666666666,0
grep_search>run_tests,6,6,ask_user,0.6666666666666666,6,ask_user,0.6666666666666666,0
lint_or_typecheck>ask_user,6,6,plan_task,0.8333333333333334,6,plan_task,0.8333333333333334,0
lint_or_typecheck>grep_search,6,6,ask_user,0.8333333333333334,6,ask_user,0.8333333333333334,0
glob_pattern>web_search,6,6,plan_task,0.8333333333333334,6,plan_task,0.8333333333333334,0
glob_pattern>apply_patch,6,6,ask_user,0.5,6,ask_user,0.5,0
ask_user>apply_patch,6,6,plan_task,1.0,6,plan_task,1.0,0
edit_file>list_directory,6,6,ask_user,0.8333333333333334,6,ask_user,0.8333333333333334,0
apply_patch>glob_pattern,6,6,ask_user,0.6666666666666666,6,ask_user,0.6666666666666666,0
read_file>lint_or_typecheck,6,6,ask_user,0.8333333333333334,6,ask_user,0.8333333333333334,0
run_tests>list_directory,6,6,ask_user,1.0,6,ask_user,1.0,0
run_bash>lint_or_typecheck,6,6,ask_user,1.0,6,ask_user,1.0,0
glob_pattern>run_bash,6,6,ask_user,1.0,6,ask_user,1.0,0
none>edit_file,6,6,ask_user,0.5,6,ask_user,0.5,0
web_search>grep_search,6,6,ask_user,0.5,6,ask_user,0.5,0
apply_patch>plan_task,5,5,ask_user,0.8,5,ask_user,0.8,0
web_search>list_directory,5,5,ask_user,0.6,5,ask_user,0.6,0
write_file>plan_task,5,5,plan_task,0.8,5,plan_task,0.8,0
run_tests>web_search,5,5,ask_user,0.6,5,ask_user,0.6,0
run_tests>run_bash,5,5,ask_user,0.6,5,ask_user,0.6,0
web_search>write_file,4,4,ask_user,0.75,4,ask_user,0.75,0
run_bash>web_search,4,4,ask_user,1.0,4,ask_user,1.0,0
none>lint_or_typecheck,4,4,ask_user,1.0,4,ask_user,1.0,0
ask_user>write_file,4,4,plan_task,1.0,4,plan_task,1.0,0
lint_or_typecheck>web_search,4,4,ask_user,0.75,4,ask_user,0.75,0
web_search>ask_user,3,3,plan_task,1.0,3,plan_task,1.0,0
write_file>glob_pattern,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
lint_or_typecheck>list_directory,3,3,ask_user,1.0,3,ask_user,1.0,0
grep_search>lint_or_typecheck,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
glob_pattern>write_file,3,3,ask_user,1.0,3,ask_user,1.0,0
lint_or_typecheck>read_file,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
list_directory>web_search,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
run_bash>apply_patch,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
write_file>grep_search,3,3,ask_user,1.0,3,ask_user,1.0,0
write_file>list_directory,3,3,ask_user,0.6666666666666666,3,ask_user,0.6666666666666666,0
ask_user>web_search,2,2,plan_task,1.0,2,plan_task,1.0,0
write_file>web_search,2,2,ask_user,0.5,2,ask_user,0.5,0
ask_user>run_tests,2,2,plan_task,1.0,2,plan_task,1.0,0
write_file>run_tests,2,2,plan_task,1.0,2,plan_task,1.0,0
lint_or_typecheck>run_bash,2,2,ask_user,1.0,2,ask_user,1.0,0
list_directory>apply_patch,2,2,ask_user,0.5,2,ask_user,0.5,0
write_file>lint_or_typecheck,2,2,ask_user,1.0,2,ask_user,1.0,0
run_bash>run_tests,2,2,ask_user,1.0,2,ask_user,1.0,0
run_tests>glob_pattern,2,2,plan_task,0.5,2,plan_task,0.5,0
plan_task>run_bash,2,2,ask_user,0.5,2,ask_user,0.5,0
none>run_tests,2,2,ask_user,1.0,2,ask_user,1.0,0
list_directory>run_tests,2,2,ask_user,1.0,2,ask_user,1.0,0
run_bash>plan_task,2,2,ask_user,1.0,2,ask_user,1.0,0
read_file>run_tests,2,2,ask_user,0.5,2,ask_user,0.5,0
web_search>run_bash,2,2,ask_user,1.0,2,ask_user,1.0,0
web_search>apply_patch,2,2,plan_task,1.0,2,plan_task,1.0,0
web_search>plan_task,2,2,plan_task,0.5,2,plan_task,0.5,0
web_search>lint_or_typecheck,2,2,ask_user,1.0,2,ask_user,1.0,0
ask_user>lint_or_typecheck,1,1,plan_task,1.0,1,plan_task,1.0,0
lint_or_typecheck>glob_pattern,1,1,ask_user,1.0,1,ask_user,1.0,0
lint_or_typecheck>run_tests,1,1,ask_user,1.0,1,ask_user,1.0,0
glob_pattern>lint_or_typecheck,1,1,ask_user,1.0,1,ask_user,1.0,0
glob_pattern>run_tests,1,1,ask_user,1.0,1,ask_user,1.0,0
run_bash>write_file,1,1,ask_user,1.0,1,ask_user,1.0,0
plan_task>write_file,1,1,ask_user,1.0,1,ask_user,1.0,0
run_tests>plan_task,1,1,plan_task,1.0,1,plan_task,1.0,0
run_tests>lint_or_typecheck,1,1,ask_user,1.0,1,ask_user,1.0,0
run_tests>write_file,1,1,ask_user,1.0,1,ask_user,1.0,0
web_search>run_tests,1,1,ask_user,1.0,1,ask_user,1.0,0
