group_value,n_rows,n_sessions,top_label,top_purity,n_ask_or_plan_rows,ask_plan_top,ask_plan_purity,n_other_14class_rows
none,1750,1750,plan_task,0.6405714285714286,1750,plan_task,0.6405714285714286,0
read_file,596,582,ask_user,0.6208053691275168,596,ask_user,0.6208053691275168,0
grep_search,483,465,ask_user,0.5755693581780539,483,ask_user,0.5755693581780539,0
edit_file,475,452,ask_user,0.72,475,ask_user,0.72,0
list_directory,334,326,ask_user,0.592814371257485,334,ask_user,0.592814371257485,0
ask_user,332,315,plan_task,0.858433734939759,332,plan_task,0.858433734939759,0
run_bash,254,248,ask_user,0.7480314960629921,254,ask_user,0.7480314960629921,0
plan_task,253,228,plan_task,0.6996047430830039,253,plan_task,0.6996047430830039,0
glob_pattern,247,240,ask_user,0.6072874493927125,247,ask_user,0.6072874493927125,0
apply_patch,208,203,ask_user,0.6490384615384616,208,ask_user,0.6490384615384616,0
run_tests,156,147,ask_user,0.6858974358974359,156,ask_user,0.6858974358974359,0
web_search,130,127,ask_user,0.6230769230769231,130,ask_user,0.6230769230769231,0
lint_or_typecheck,84,84,ask_user,0.7619047619047619,84,ask_user,0.7619047619047619,0
write_file,78,78,plan_task,0.5641025641025641,78,plan_task,0.5641025641025641,0
