state_def,threshold,n_buckets,n_rows_covered,coverage
last_action,0.95,0,0,0.0
last_action,0.99,0,0,0.0
last_action,1.0,0,0,0.0
last_action+last2,0.95,0,0,0.0
last_action+last2,0.99,0,0,0.0
last_action+last2,1.0,0,0,0.0
last_action+last2+last3,0.95,1,5,7.142857142857143e-05
last_action+last2+last3,0.99,1,5,7.142857142857143e-05
last_action+last2+last3,1.0,1,5,7.142857142857143e-05
last_action_family4,0.95,0,0,0.0
last_action_family4,0.99,0,0,0.0
last_action_family4,1.0,0,0,0.0
last_action+last_args_sig,0.95,0,0,0.0
last_action+last_args_sig,0.99,0,0,0.0
last_action+last_args_sig,1.0,0,0,0.0
last_ci_status+last_action,0.95,0,0,0.0
last_ci_status+last_action,0.99,0,0,0.0
last_ci_status+last_action,1.0,0,0,0.0
history_len_bin,0.95,0,0,0.0
history_len_bin,0.99,0,0,0.0
history_len_bin,1.0,0,0,0.0
history_len_bin+last_action,0.95,0,0,0.0
history_len_bin+last_action,0.99,0,0,0.0
history_len_bin+last_action,1.0,0,0,0.0
turn_index,0.95,0,0,0.0
turn_index,0.99,0,0,0.0
turn_index,1.0,0,0,0.0
turn_index_bin,0.95,0,0,0.0
turn_index_bin,0.99,0,0,0.0
turn_index_bin,1.0,0,0,0.0
turn_index+last_action,0.95,0,0,0.0
turn_index+last_action,0.99,0,0,0.0
turn_index+last_action,1.0,0,0,0.0
step+last_action,0.95,0,0,0.0
step+last_action,0.99,0,0,0.0
step+last_action,1.0,0,0,0.0
last_action+git_dirty,0.95,0,0,0.0
last_action+git_dirty,0.99,0,0,0.0
last_action+git_dirty,1.0,0,0,0.0
last_action+budget_bin,0.95,0,0,0.0
last_action+budget_bin,0.99,0,0,0.0
last_action+budget_bin,1.0,0,0,0.0
last_action+user_tier,0.95,0,0,0.0
last_action+user_tier,0.99,0,0,0.0
last_action+user_tier,1.0,0,0,0.0
last_action+language_pref,0.95,0,0,0.0
last_action+language_pref,0.99,0,0,0.0
last_action+language_pref,1.0,0,0,0.0
history_present,0.95,0,0,0.0
history_present,0.99,0,0,0.0
history_present,1.0,0,0,0.0
history_present+last_action_family4,0.95,0,0,0.0
history_present+last_action_family4,0.99,0,0,0.0
history_present+last_action_family4,1.0,0,0,0.0
last_action+last2+turn_index_bin,0.95,0,0,0.0
last_action+last2+turn_index_bin,0.99,0,0,0.0
last_action+last2+turn_index_bin,1.0,0,0,0.0
last_action+prompt_glob,0.95,0,0,0.0
last_action+prompt_glob,0.99,0,0,0.0
last_action+prompt_glob,1.0,0,0,0.0
last_action+last_result_prefix,0.95,2,16,0.00022857142857142857
last_action+last_result_prefix,0.99,2,16,0.00022857142857142857
last_action+last_result_prefix,1.0,2,16,0.00022857142857142857
