turn_index,apply_patch,ask_user,edit_file,glob_pattern,grep_search,lint_or_typecheck,list_directory,plan_task,read_file,respond_only,run_bash,run_tests,web_search,write_file
1,0.0007,0.0699,0.0253,0.063,0.1162,0.008,0.202,0.1246,0.1653,0.0086,0.1123,0.0133,0.0121,0.0787
2,0.0265,0.0322,0.1802,0.0493,0.1472,0.006,0.1144,0.0487,0.2037,0.0271,0.0963,0.0172,0.0083,0.0431
3,0.0226,0.0498,0.2431,0.0725,0.1396,0.0165,0.0536,0.0232,0.1566,0.0279,0.0892,0.0656,0.0148,0.025
4,0.0449,0.0442,0.2362,0.0757,0.1631,0.0284,0.0359,0.024,0.125,0.0327,0.0762,0.084,0.0179,0.0117
5,0.0733,0.0341,0.1904,0.0783,0.1511,0.0361,0.0239,0.0215,0.1151,0.0962,0.0619,0.0877,0.0233,0.007
6,0.1096,0.0242,0.1597,0.0844,0.1445,0.043,0.0248,0.0205,0.1105,0.1033,0.0595,0.0897,0.0239,0.0024
7,0.1288,0.0269,0.14,0.0896,0.1351,0.0524,0.0182,0.0182,0.0903,0.1465,0.0523,0.0789,0.0221,0.0007
8,0.121,0.0268,0.1251,0.0874,0.1431,0.0616,0.0206,0.0218,0.0992,0.145,0.0469,0.0775,0.0227,0.0014
9,0.1284,0.0253,0.138,0.096,0.1302,0.0574,0.0207,0.017,0.0972,0.1398,0.0423,0.0806,0.0265,0.0006
10,0.127,0.0265,0.1411,0.0924,0.1342,0.0494,0.0201,0.0225,0.0912,0.135,0.043,0.0945,0.0217,0.0012
11,0.1215,0.0284,0.1441,0.0752,0.1456,0.0615,0.0163,0.0305,0.092,0.1288,0.0457,0.0883,0.0205,0.0016
12,0.1232,0.0345,0.1268,0.0866,0.1444,0.0606,0.0204,0.0225,0.1106,0.1246,0.0394,0.0859,0.0197,0.0007
13,0.1594,0.0251,0.1275,0.0831,0.1353,0.0638,0.0184,0.0174,0.0937,0.1227,0.0425,0.086,0.0251,0.0
14,0.1282,0.0273,0.1296,0.09,0.1473,0.0532,0.0191,0.0136,0.105,0.1119,0.0546,0.1078,0.0123,0.0
15,0.1202,0.0361,0.1403,0.0721,0.1483,0.0681,0.016,0.0261,0.0922,0.1242,0.0341,0.0842,0.0361,0.002
16,0.1194,0.0388,0.1493,0.0896,0.1701,0.0597,0.0358,0.0149,0.0746,0.0985,0.0358,0.0896,0.0239,0.0
17,0.1865,0.0259,0.1347,0.1036,0.1192,0.057,0.0155,0.0259,0.0881,0.1088,0.0207,0.0881,0.0259,0.0
18,0.119,0.0476,0.0833,0.1667,0.1429,0.0833,0.0119,0.0119,0.0952,0.131,0.0,0.1071,0.0,0.0
