session_key,step
sess_au_001215_001,8
sess_au_002748_004,5
sess_au_002947_004,6
sess_au_002947_005,8
sess_au_005662_004,11
sess_au_006497_004,6
sess_au_007752_002,10
sess_au_007752_003,7
sess_au_009108_001,10
sess_au_012216_003,5
sess_au_012216_009,4
sess_au_013068_003,3
sess_au_013068_005,4
sess_au_013068_006,3
sess_au_013068_008,2
sess_au_013068_009,3
sess_au_013098_004,8
sess_au_016553_007,4
sess_au_019964_001,7
sess_au_020292_003,1
sess_au_020292_014,3
sess_au_020364_000,4
sess_au_020364_006,3
sess_au_020364_009,1
sess_au_022501_000,1
sess_au_022501_004,1
sess_au_022501_007,2
sess_au_022501_014,3
sess_au_024145_004,3
sess_au_024145_010,2
sess_au_024216_005,2
sess_au_024216_009,1
sess_au_024216_013,1
sess_au_024225_003,2
sess_au_024225_005,3
sess_au_024225_007,2
sess_au_024225_008,1
sess_au_024225_013,3
sess_au_024225_014,4
sess_au_024495_007,6
sess_au_024495_009,4
sess_au_024495_013,5
sess_au_024495_014,7
sess_au_024833_001,4
sess_au_024833_004,5
sess_au_024833_006,4
sess_au_024833_007,6
sess_au_027208_000,5
sess_au_027208_005,3
sess_au_029903_005,1
sess_au_029903_010,1
sess_au_029903_012,2
sess_au_032356_004,7
sess_au_034822_000,8
sess_au_034822_001,2
sess_au_034822_002,1
sess_au_034822_012,2
sess_au_041191_004,7
sess_au_041886_001,9
sess_au_042686_013,2
sess_au_044258_004,7
sess_au_045605_002,7
sess_au_045605_004,7
sess_au_050092_001,8
sess_au_050092_004,6
sess_au_052823_000,5
sess_au_052823_005,8
sess_au_054191_001,4
sess_au_054191_002,6
sess_au_054191_003,1
sess_au_054191_012,5
sess_au_057960_004,4
sess_au_057960_008,4
sess_au_057960_014,5
sess_au_065146_001,5
sess_au_065146_002,3
sess_au_065146_004,3
sess_au_065146_005,4
sess_au_065146_006,3
sess_au_065146_011,1
sess_au_067830_008,2
sess_au_067830_009,2
sess_au_071160_002,6
sess_au_071160_003,8
sess_au_071160_004,7
sess_au_071160_005,10
sess_au_071541_000,11
sess_au_071541_004,10
sess_au_071541_005,7
sess_au_073407_002,3
sess_au_073407_004,1
sess_au_073407_010,2
sess_au_077583_001,9
sess_au_078464_001,8
sess_au_078464_002,7
sess_au_078464_004,6
sess_au_078464_005,8
sess_au_078520_010,4
sess_au_078520_011,1
sess_au_078520_014,4
sess_au_079217_001,7
sess_au_079217_005,8
sess_au_080355_001,8
sess_au_080355_002,9
sess_au_080355_004,6
sess_au_080937_002,6
sess_au_080937_004,7
sess_au_080937_005,9
sess_au_085328_001,2
sess_au_085328_002,2
sess_au_085328_007,3
sess_au_085328_010,1
sess_au_086424_000,4
sess_au_086424_002,2
sess_au_086424_010,1
sess_au_089670_002,4
sess_au_089895_014,3
sess_au_090551_010,1
sess_au_090551_013,3
sess_au_090936_002,12
sess_au_091071_002,5
sess_au_091071_003,3
sess_au_091071_007,2
sess_au_091071_011,2
sess_au_091071_013,4
sess_au_095293_000,11
sess_au_095293_003,14
sess_au_097137_001,7
sess_au_097137_002,7
sess_au_097137_005,8
sess_au_101048_004,9
sess_au_102052_000,8
sess_au_102052_005,7
sess_au_102180_001,8
sess_au_103428_001,3
sess_au_103428_004,3
sess_au_103428_008,1
sess_au_103428_009,7
sess_au_103907_004,2
sess_au_104309_003,3
sess_au_104309_004,1
sess_au_104389_003,3
sess_au_104886_000,3
sess_au_104886_002,2
sess_au_104886_005,3
sess_au_104886_007,4
sess_au_111606_002,2
sess_au_111606_008,4
sess_au_112147_000,6
sess_au_115204_001,4
sess_au_115204_006,5
sess_au_115204_009,3
sess_au_115204_014,5
sess_au_116461_002,4
sess_au_116461_005,3
sess_au_116657_009,2
sess_au_116657_010,5
sess_au_116934_002,10
sess_au_116934_003,9
sess_au_116934_004,7
sess_au_118082_002,7
sess_au_118430_000,8
sess_au_120093_001,6
sess_au_120093_002,11
sess_au_120093_005,7
sess_au_121681_001,2
sess_au_121681_005,6
sess_au_121681_006,5
sess_au_121681_013,1
sess_au_121758_003,4
sess_au_122006_000,4
sess_au_122006_002,7
sess_au_122006_006,6
sess_au_124666_004,6
sess_au_126444_001,1
sess_au_126444_004,2
sess_au_126444_008,3
sess_au_126444_009,4
sess_au_126444_013,3
sess_au_130045_002,7
sess_au_130565_000,3
sess_au_130565_002,3
sess_au_130565_011,1
sess_au_131983_000,8
sess_au_132067_002,2
sess_au_132067_005,3
sess_au_132067_012,3
sess_au_134184_000,11
sess_au_134870_006,4
sess_au_134870_008,4
sess_au_134870_014,2
sess_au_135906_000,7
sess_au_135906_010,2
sess_au_136624_000,6
sess_au_136624_001,7
sess_au_142527_002,6
sess_au_150432_000,4
sess_au_150432_008,4
sess_au_150432_013,5
sess_au_152159_003,9
sess_au_152914_005,8
sess_au_153247_005,2
sess_au_153247_006,3
sess_au_153247_010,1
sess_au_156978_007,1
sess_au_156978_008,3
sess_au_158415_000,7
sess_au_158415_003,8
sess_au_160675_000,7
sess_au_160675_007,1
sess_au_161343_000,6
sess_au_163098_002,11
sess_au_163098_003,7
sess_au_163098_005,8
sess_au_163639_005,1
sess_au_163639_008,4
sess_au_164851_001,6
sess_au_164851_005,7
sess_au_166953_001,15
sess_au_172872_002,2
sess_au_172872_011,4
sess_au_175237_002,5
sess_au_175237_010,4
sess_au_175237_011,4
sess_au_176261_001,1
sess_au_176261_009,3
sess_au_176585_004,7
sess_au_179018_003,3
sess_au_179018_006,5
sess_au_179018_009,1
sess_au_179018_012,3
sess_au_184567_003,3
sess_au_184567_008,3
sess_au_184567_010,5
sess_au_185531_003,6
sess_au_187908_001,3
sess_au_187908_004,4
sess_au_187908_005,3
sess_au_187908_008,2
sess_au_187960_002,6
sess_au_190682_001,4
sess_au_190682_002,3
sess_au_190682_007,4
sess_au_191481_007,2
sess_au_191481_008,6
sess_au_191481_011,4
sess_au_195128_002,5
sess_au_195128_013,4
sess_au_195212_004,11
