fold,lambda,action,f1
1,0.0,read_file,0.4811375507835171
1,0.0,grep_search,0.5650517147523135
1,0.0,list_directory,0.39610705596107054
1,0.0,glob_pattern,0.5753830944142363
1,0.0,edit_file,0.9095300834431269
1,0.0,write_file,0.971900826446281
1,0.0,apply_patch,0.8222222222222222
1,0.0,run_bash,0.721101819970487
1,0.0,run_tests,0.6880589163598106
1,0.0,lint_or_typecheck,0.5123258306538049
1,0.0,ask_user,0.5581395348837209
1,0.0,plan_task,0.5950266429840142
1,0.0,web_search,0.4824742268041237
1,0.0,respond_only,0.9975810353168844
1,0.125,read_file,0.47919740336382416
1,0.125,grep_search,0.5643564356435643
1,0.125,list_directory,0.4125230202578269
1,0.125,glob_pattern,0.577
1,0.125,edit_file,0.9090909090909091
1,0.125,write_file,0.9686985172981878
1,0.125,apply_patch,0.8222222222222222
1,0.125,run_bash,0.7229629629629629
1,0.125,run_tests,0.6880589163598106
1,0.125,lint_or_typecheck,0.5112781954887218
1,0.125,ask_user,0.5569620253164557
1,0.125,plan_task,0.5982905982905983
1,0.125,web_search,0.4810126582278481
1,0.125,respond_only,0.9980638915779284
1,0.25,read_file,0.4759342301943199
1,0.25,grep_search,0.5642581356867071
1,0.25,list_directory,0.42133333333333334
1,0.25,glob_pattern,0.5778894472361809
1,0.25,edit_file,0.9059187279151943
1,0.25,write_file,0.9592169657422512
1,0.25,apply_patch,0.8222222222222222
1,0.25,run_bash,0.7253731343283583
1,0.25,run_tests,0.6880589163598106
1,0.25,lint_or_typecheck,0.5112781954887218
1,0.25,ask_user,0.5521698984302862
1,0.25,plan_task,0.6019900497512438
1,0.25,web_search,0.47983014861995754
1,0.25,respond_only,0.9980638915779284
1,0.5,read_file,0.46795646916565903
1,0.5,grep_search,0.5644849489091411
1,0.5,list_directory,0.4214625703158806
1,0.5,glob_pattern,0.5774647887323944
1,0.5,edit_file,0.9007769145394007
1,0.5,write_file,0.9348171701112877
1,0.5,apply_patch,0.8222222222222222
1,0.5,run_bash,0.7238955823293173
1,0.5,run_tests,0.6880589163598106
1,0.5,lint_or_typecheck,0.5112781954887218
1,0.5,ask_user,0.5525070955534531
1,0.5,plan_task,0.6131621187800963
1,0.5,web_search,0.4829059829059829
1,0.5,respond_only,0.9966068831798351
1,0.75,read_file,0.4663840096910963
1,0.75,grep_search,0.5644849489091411
