fold,model,action,f1
1,flat_14way,read_file,0.4811375507835171
1,flat_14way,grep_search,0.5650517147523135
1,flat_14way,list_directory,0.3961070559610705
1,flat_14way,glob_pattern,0.5753830944142363
1,flat_14way,edit_file,0.9095300834431268
1,flat_14way,write_file,0.971900826446281
1,flat_14way,apply_patch,0.8222222222222222
1,flat_14way,run_bash,0.721101819970487
1,flat_14way,run_tests,0.6880589163598106
1,flat_14way,lint_or_typecheck,0.5123258306538049
1,flat_14way,ask_user,0.5581395348837209
1,flat_14way,plan_task,0.5950266429840142
1,flat_14way,web_search,0.4824742268041237
1,flat_14way,respond_only,0.9975810353168844
1,hier_explore_override,read_file,0.5061830173124485
1,hier_explore_override,grep_search,0.5866454689984102
1,hier_explore_override,list_directory,0.4237442922374429
1,hier_explore_override,glob_pattern,0.5882936507936508
1,hier_explore_override,edit_file,0.9240393208221628
1,hier_explore_override,write_file,0.976510067114094
1,hier_explore_override,apply_patch,0.8482003129890454
1,hier_explore_override,run_bash,0.74527820316488
1,hier_explore_override,run_tests,0.7048030221262817
1,hier_explore_override,lint_or_typecheck,0.5278396436525612
1,hier_explore_override,ask_user,0.5767097966728281
1,hier_explore_override,plan_task,0.6198501872659176
1,hier_explore_override,web_search,0.5021459227467812
1,hier_explore_override,respond_only,0.9980638915779284
1,hier_family_route,read_file,0.5084277424702957
1,hier_family_route,grep_search,0.5896201177100053
1,hier_family_route,list_directory,0.4240477283157411
1,hier_family_route,glob_pattern,0.5986741458439572
1,hier_family_route,edit_file,0.9331562638335548
1,hier_family_route,write_file,0.9748743718592964
1,hier_family_route,apply_patch,0.8604166666666667
1,hier_family_route,run_bash,0.7535211267605634
1,hier_family_route,run_tests,0.7072
1,hier_family_route,lint_or_typecheck,0.5353982300884956
1,hier_family_route,ask_user,0.5860805860805861
1,hier_family_route,plan_task,0.620817843866171
1,hier_family_route,web_search,0.5236051502145923
1,hier_family_route,respond_only,0.9975810353168844
2,flat_14way,read_file,0.4861394805952728
2,flat_14way,grep_search,0.5768817204301075
2,flat_14way,list_directory,0.4354995150339476
2,flat_14way,glob_pattern,0.5683890577507599
2,flat_14way,edit_file,0.9012237762237764
2,flat_14way,write_file,0.9576547231270358
2,flat_14way,apply_patch,0.794425087108014
2,flat_14way,run_bash,0.7467312348668281
2,flat_14way,run_tests,0.6892109500805152
2,flat_14way,lint_or_typecheck,0.5470653377630121
2,flat_14way,ask_user,0.5591985428051002
2,flat_14way,plan_task,0.5657657657657658
2,flat_14way,web_search,0.4814090019569471
2,flat_14way,respond_only,0.9990328820116054
2,hier_explore_override,read_file,0.5121681415929203
2,hier_explore_override,grep_search,0.5911355887752426
2,hier_explore_override,list_directory,0.4506001846722068
2,hier_explore_override,glob_pattern,0.5848960973137354
2,hier_explore_override,edit_file,0.916536835076786
2,hier_explore_override,write_file,0.9733333333333334
2,hier_explore_override,apply_patch,0.8143589743589743
2,hier_explore_override,run_bash,0.7647058823529411
2,hier_explore_override,run_tests,0.7032967032967034
2,hier_explore_override,lint_or_typecheck,0.5645714285714286
2,hier_explore_override,ask_user,0.5682242990654206
2,hier_explore_override,plan_task,0.5819209039548022
2,hier_explore_override,web_search,0.5040983606557377
2,hier_explore_override,respond_only,0.9990328820116054
2,hier_family_route,read_file,0.5139198218262806
2,hier_family_route,grep_search,0.5922201640645673
2,hier_family_route,list_directory,0.4522706209453197
2,hier_family_route,glob_pattern,0.5952380952380952
2,hier_family_route,edit_file,0.9231791011733452
2,hier_family_route,write_file,0.9750415973377704
2,hier_family_route,apply_patch,0.8451579492490937
2,hier_family_route,run_bash,0.7770700636942676
2,hier_family_route,run_tests,0.710412147505423
2,hier_family_route,lint_or_typecheck,0.578177727784027
2,hier_family_route,ask_user,0.5788497217068646
2,hier_family_route,plan_task,0.5890027958993477
2,hier_family_route,web_search,0.5080645161290323
2,hier_family_route,respond_only,0.999516674722088
3,flat_14way,read_file,0.4753231492361927
3,flat_14way,grep_search,0.5615260612573885
3,flat_14way,list_directory,0.4054054054054054
3,flat_14way,glob_pattern,0.582591493570722
3,flat_14way,edit_file,0.9034952736865244
3,flat_14way,write_file,0.9576547231270358
3,flat_14way,apply_patch,0.7987835783071465
3,flat_14way,run_bash,0.7447864945382324
3,flat_14way,run_tests,0.6911764705882353
3,flat_14way,lint_or_typecheck,0.5408942202835333
3,flat_14way,ask_user,0.5400372439478585
3,flat_14way,plan_task,0.5907099035933392
3,flat_14way,web_search,0.4798464491362764
3,flat_14way,respond_only,0.9985528219971056
3,hier_explore_override,read_file,0.5074875207986689
3,hier_explore_override,grep_search,0.5799842395587076
3,hier_explore_override,list_directory,0.4311759343664539
3,hier_explore_override,glob_pattern,0.5988083416087389
3,hier_explore_override,edit_file,0.9156626506024096
3,hier_explore_override,write_file,0.9766666666666668
3,hier_explore_override,apply_patch,0.8232826428945988
3,hier_explore_override,run_bash,0.7587965323814381
3,hier_explore_override,run_tests,0.7012292891501871
3,hier_explore_override,lint_or_typecheck,0.5620022753128555
3,hier_explore_override,ask_user,0.5583657587548638
3,hier_explore_override,plan_task,0.6102941176470589
3,hier_explore_override,web_search,0.5061224489795918
3,hier_explore_override,respond_only,0.9985528219971056
3,hier_family_route,read_file,0.5104836455129997
3,hier_family_route,grep_search,0.5823389021479713
3,hier_family_route,list_directory,0.4331501831501831
3,hier_family_route,glob_pattern,0.6131834440470108
3,hier_family_route,edit_file,0.9216508497020526
3,hier_family_route,write_file,0.9718076285240465
3,hier_family_route,apply_patch,0.8459530026109661
3,hier_family_route,run_bash,0.7714716223003516
3,hier_family_route,run_tests,0.7108050847457628
3,hier_family_route,lint_or_typecheck,0.5629965947786606
3,hier_family_route,ask_user,0.5593869731800766
3,hier_family_route,plan_task,0.6197440585009141
3,hier_family_route,web_search,0.5173116089613035
3,hier_family_route,respond_only,0.9985528219971056
4,flat_14way,read_file,0.4828985507246376
4,flat_14way,grep_search,0.5665419561731694
4,flat_14way,list_directory,0.4226044226044226
4,flat_14way,glob_pattern,0.5654345654345654
4,flat_14way,edit_file,0.9020561574176432
4,flat_14way,write_file,0.962356792144026
4,flat_14way,apply_patch,0.796812749003984
4,flat_14way,run_bash,0.7378351539225422
4,flat_14way,run_tests,0.7033898305084746
4,flat_14way,lint_or_typecheck,0.5393013100436681
4,flat_14way,ask_user,0.5268915223336372
4,flat_14way,plan_task,0.554561717352415
4,flat_14way,web_search,0.5239005736137667
4,flat_14way,respond_only,0.9995176073323684
4,hier_explore_override,read_file,0.5065573770491804
4,hier_explore_override,grep_search,0.587650444793302
4,hier_explore_override,list_directory,0.447926267281106
4,hier_explore_override,glob_pattern,0.5859808371154815
4,hier_explore_override,edit_file,0.9121076233183856
4,hier_explore_override,write_file,0.984924623115578
4,hier_explore_override,apply_patch,0.8203285420944558
4,hier_explore_override,run_bash,0.7614631633178773
4,hier_explore_override,run_tests,0.7142085359265262
4,hier_explore_override,lint_or_typecheck,0.5553047404063205
4,hier_explore_override,ask_user,0.5423728813559322
4,hier_explore_override,plan_task,0.5706161137440758
4,hier_explore_override,web_search,0.5528455284552846
4,hier_explore_override,respond_only,0.9995176073323684
4,hier_family_route,read_file,0.5073063137579267
4,hier_family_route,grep_search,0.5904761904761905
4,hier_family_route,list_directory,0.4492820750347383
4,hier_family_route,glob_pattern,0.5938954992240041
4,hier_family_route,edit_file,0.9173903362280116
4,hier_family_route,write_file,0.9766666666666668
4,hier_family_route,apply_patch,0.8366615463389657
4,hier_family_route,run_bash,0.7718052738336714
4,hier_family_route,run_tests,0.7253333333333334
